event_id,shipment_id,event_at,event_type,location,lat,lon,milestone_planned_at,milestone_actual_at,variance_hours,note
E-S-700499-01,S-700499,2026-04-20T08:00Z,booked,Singapore,,,2026-04-20T08:00Z,2026-04-20T08:00Z,0.0,
E-S-700499-02,S-700499,2026-04-21T08:00Z,picked_up,Singapore,,,2026-04-21T08:00Z,2026-04-21T08:00Z,0.0,
E-S-700499-03,S-700499,2026-04-22T08:00Z,port_departure,Singapore,,,2026-04-22T08:00Z,2026-04-22T08:00Z,0.0,
E-S-700499-04,S-700499,2026-04-24T08:00Z,in_transit,mid-route,,,2026-04-24T08:00Z,2026-04-24T08:00Z,0.0,
E-S-700499-05,S-700499,2026-04-26T08:00Z,delayed,mid-route,,,2026-04-26T08:00Z,2026-04-26T08:00Z,0.0,Exception: delayed flagged (2.0d variance)
E-S-700499-06,S-700499,2026-04-29T04:00Z,port_arrival,Rotterdam,,,2026-04-28T08:00Z,2026-04-29T04:00Z,20.0,
E-S-700499-07,S-700499,2026-04-30T04:00Z,customs_cleared,Rotterdam,,,2026-04-29T08:00Z,2026-04-30T04:00Z,20.0,
E-S-700499-08,S-700499,2026-04-30T10:00Z,delivered,Rotterdam,,,2026-04-30T08:00Z,2026-04-30T10:00Z,2.0,
E-S-700412-01,S-700412,2026-04-03T18:00Z,booked,Shanghai,,,2026-04-03T18:00Z,2026-04-03T18:00Z,0.0,
E-S-700412-02,S-700412,2026-04-04T18:00Z,picked_up,Shanghai,,,2026-04-04T18:00Z,2026-04-04T18:00Z,0.0,
E-S-700412-03,S-700412,2026-04-05T18:00Z,port_departure,Shanghai,,,2026-04-05T18:00Z,2026-04-05T18:00Z,0.0,
E-S-700412-04,S-700412,2026-04-11T18:00Z,in_transit,mid-route,,,2026-04-11T18:00Z,2026-04-11T18:00Z,0.0,
E-S-700412-05,S-700412,2026-04-10T18:00Z,delayed,mid-route,,,2026-04-10T18:00Z,2026-04-10T18:00Z,0.0,Exception: delayed flagged (9.0d variance)
E-S-700412-06,S-700412,2026-04-27T18:00Z,port_arrival,Hamburg,,,2026-04-27T18:00Z,2026-04-27T18:00Z,0.0,
E-S-700412-07,S-700412,2026-04-28T18:00Z,customs_cleared,Hamburg,,,2026-04-28T18:00Z,2026-04-28T18:00Z,0.0,
E-S-700412-08,S-700412,2026-04-29T03:00Z,delivered,Hamburg,,,2026-04-28T18:00Z,2026-04-29T03:00Z,9.0,
E-S-700600-01,S-700600,2026-06-10T12:00Z,booked,Ningbo,,,2026-06-10T12:00Z,2026-06-10T12:00Z,0.0,
E-S-700600-02,S-700600,2026-06-11T12:00Z,picked_up,Ningbo,,,2026-06-11T12:00Z,2026-06-11T12:00Z,0.0,
E-S-700600-03,S-700600,2026-06-12T12:00Z,port_departure,Ningbo,,,2026-06-12T12:00Z,2026-06-12T12:00Z,0.0,
E-S-700600-04,S-700600,2026-06-13T12:00Z,in_transit,mid-route,,,2026-06-13T12:00Z,2026-06-13T12:00Z,0.0,
E-S-700600-05,S-700600,2026-06-14T12:00Z,customs_hold,mid-route,,,2026-06-14T12:00Z,2026-06-14T12:00Z,0.0,Exception: customs hold flagged (0.3d variance)
E-S-700600-06,S-700600,2026-06-16T19:12Z,port_arrival,Rotterdam,,,2026-06-16T12:00Z,2026-06-16T19:12Z,7.2,
E-S-700600-07,S-700600,2026-06-17T19:12Z,customs_cleared,Rotterdam,,,2026-06-17T12:00Z,2026-06-17T19:12Z,7.2,
E-S-700601-01,S-700601,2026-05-27T12:00Z,booked,Shanghai,,,2026-05-27T12:00Z,2026-05-27T12:00Z,0.0,
E-S-700601-02,S-700601,2026-05-28T12:00Z,picked_up,Shanghai,,,2026-05-28T12:00Z,2026-05-28T12:00Z,0.0,
E-S-700601-03,S-700601,2026-05-29T12:00Z,port_departure,Shanghai,,,2026-05-29T12:00Z,2026-05-29T12:00Z,0.0,
E-S-700601-04,S-700601,2026-05-30T12:00Z,in_transit,mid-route,,,2026-05-30T12:00Z,2026-05-30T12:00Z,0.0,
E-S-700601-05,S-700601,2026-06-01T04:48Z,port_arrival,Los Angeles,,,2026-05-31T12:00Z,2026-06-01T04:48Z,16.8,
E-S-700601-06,S-700601,2026-06-02T04:48Z,customs_cleared,Los Angeles,,,2026-06-01T12:00Z,2026-06-02T04:48Z,16.8,
E-S-700602-01,S-700602,2026-05-13T12:00Z,booked,Frankfurt am Main Airport,,,2026-05-13T12:00Z,2026-05-13T12:00Z,0.0,
E-S-700602-02,S-700602,2026-05-14T12:00Z,picked_up,Frankfurt am Main Airport,,,2026-05-14T12:00Z,2026-05-14T12:00Z,0.0,
E-S-700602-03,S-700602,2026-05-15T12:00Z,port_departure,Frankfurt am Main Airport,,,2026-05-15T12:00Z,2026-05-15T12:00Z,0.0,
E-S-700602-04,S-700602,2026-05-17T12:00Z,in_transit,mid-route,,,2026-05-17T12:00Z,2026-05-17T12:00Z,0.0,
E-S-700602-05,S-700602,2026-05-21T16:48Z,port_arrival,Shanghai,,,2026-05-21T12:00Z,2026-05-21T16:48Z,4.8,
E-S-700602-06,S-700602,2026-05-22T16:48Z,customs_cleared,Shanghai,,,2026-05-22T12:00Z,2026-05-22T16:48Z,4.8,
E-S-700602-07,S-700602,2026-05-23T05:48Z,delivered,Shanghai,,,2026-05-22T12:00Z,2026-05-23T05:48Z,17.8,
E-S-700603-01,S-700603,2026-06-04T12:00Z,booked,Valencia,,,2026-06-04T12:00Z,2026-06-04T12:00Z,0.0,
E-S-700603-02,S-700603,2026-06-05T12:00Z,picked_up,Valencia,,,2026-06-05T12:00Z,2026-06-05T12:00Z,0.0,
E-S-700603-03,S-700603,2026-06-06T12:00Z,port_departure,Valencia,,,2026-06-06T12:00Z,2026-06-06T12:00Z,0.0,
E-S-700603-04,S-700603,2026-06-06T12:00Z,in_transit,mid-route,,,2026-06-06T12:00Z,2026-06-06T12:00Z,0.0,
E-S-700603-05,S-700603,2026-06-07T00:00Z,port_arrival,Veracruz,,,2026-06-06T12:00Z,2026-06-07T00:00Z,12.0,
E-S-700603-06,S-700603,2026-06-08T00:00Z,customs_cleared,Veracruz,,,2026-06-07T12:00Z,2026-06-08T00:00Z,12.0,
E-S-700604-01,S-700604,2026-05-21T12:00Z,booked,Valencia,,,2026-05-21T12:00Z,2026-05-21T12:00Z,0.0,
E-S-700604-02,S-700604,2026-05-22T12:00Z,picked_up,Valencia,,,2026-05-22T12:00Z,2026-05-22T12:00Z,0.0,
E-S-700604-03,S-700604,2026-05-23T12:00Z,port_departure,Valencia,,,2026-05-23T12:00Z,2026-05-23T12:00Z,0.0,
E-S-700604-04,S-700604,2026-05-25T12:00Z,in_transit,mid-route,,,2026-05-25T12:00Z,2026-05-25T12:00Z,0.0,
E-S-700604-05,S-700604,2026-05-31T21:36Z,port_arrival,Veracruz,,,2026-05-31T12:00Z,2026-05-31T21:36Z,9.6,
E-S-700604-06,S-700604,2026-06-01T21:36Z,customs_cleared,Veracruz,,,2026-06-01T12:00Z,2026-06-01T21:36Z,9.6,
E-S-700605-01,S-700605,2026-05-21T12:00Z,booked,Rotterdam,,,2026-05-21T12:00Z,2026-05-21T12:00Z,0.0,
E-S-700605-02,S-700605,2026-05-22T12:00Z,picked_up,Rotterdam,,,2026-05-22T12:00Z,2026-05-22T12:00Z,0.0,
E-S-700605-03,S-700605,2026-05-23T12:00Z,port_departure,Rotterdam,,,2026-05-23T12:00Z,2026-05-23T12:00Z,0.0,
E-S-700605-04,S-700605,2026-05-26T12:00Z,in_transit,mid-route,,,2026-05-26T12:00Z,2026-05-26T12:00Z,0.0,
E-S-700605-05,S-700605,2026-06-02T21:36Z,port_arrival,New York/New Jersey,,,2026-06-02T12:00Z,2026-06-02T21:36Z,9.6,
E-S-700605-06,S-700605,2026-06-03T21:36Z,customs_cleared,New York/New Jersey,,,2026-06-03T12:00Z,2026-06-03T21:36Z,9.6,
E-S-700606-01,S-700606,2026-05-23T12:00Z,booked,Salalah,,,2026-05-23T12:00Z,2026-05-23T12:00Z,0.0,
E-S-700606-02,S-700606,2026-05-24T12:00Z,picked_up,Salalah,,,2026-05-24T12:00Z,2026-05-24T12:00Z,0.0,
E-S-700606-03,S-700606,2026-05-25T12:00Z,port_departure,Salalah,,,2026-05-25T12:00Z,2026-05-25T12:00Z,0.0,
E-S-700606-04,S-700606,2026-05-26T12:00Z,in_transit,mid-route,,,2026-05-26T12:00Z,2026-05-26T12:00Z,0.0,
E-S-700606-05,S-700606,2026-05-27T14:24Z,port_arrival,Rotterdam,,,2026-05-27T12:00Z,2026-05-27T14:24Z,2.4,
E-S-700606-06,S-700606,2026-05-28T14:24Z,customs_cleared,Rotterdam,,,2026-05-28T12:00Z,2026-05-28T14:24Z,2.4,
E-S-700607-01,S-700607,2026-05-15T12:00Z,booked,Shanghai,,,2026-05-15T12:00Z,2026-05-15T12:00Z,0.0,
E-S-700607-02,S-700607,2026-05-16T12:00Z,picked_up,Shanghai,,,2026-05-16T12:00Z,2026-05-16T12:00Z,0.0,
E-S-700607-03,S-700607,2026-05-17T12:00Z,port_departure,Shanghai,,,2026-05-17T12:00Z,2026-05-17T12:00Z,0.0,
E-S-700607-04,S-700607,2026-05-19T12:00Z,in_transit,mid-route,,,2026-05-19T12:00Z,2026-05-19T12:00Z,0.0,
E-S-700607-05,S-700607,2026-05-17T12:00Z,damage,mid-route,,,2026-05-17T12:00Z,2026-05-17T12:00Z,0.0,Exception: damage flagged (2.2d variance)
E-S-700607-06,S-700607,2026-05-25T16:48Z,port_arrival,Rotterdam,,,2026-05-25T12:00Z,2026-05-25T16:48Z,4.8,
E-S-700607-07,S-700607,2026-05-26T16:48Z,customs_cleared,Rotterdam,,,2026-05-26T12:00Z,2026-05-26T16:48Z,4.8,
