order_id,customer_id,customer_name,sku,qty,promised_delivery_date,shipment_id,sla_tier,penalty_per_day_usd,total_value_usd
ORD-44291,CUST-001,Acme Industrial,P-EL-9001,120,2026-04-30,S-700499,premium,4200,184000
ORD-44218,CUST-005,Wayne Enterprises,P-EL-9001,260,2026-04-22,S-700412,premium,12000,312500
ORD-50000,CUST-006,Stark Industries,P-MC-7100,285,2026-05-29,S-700834,standard,1130,63.0
ORD-50001,CUST-007,Cyberdyne Systems,P-PW-1850,418,2026-05-28,S-701948,standard,1030,10050.0
ORD-50002,CUST-012,Massive Dynamic,P-CH-2211,694,2026-05-25,S-701683,economy,27,172.0
ORD-50003,CUST-009,Pied Piper Logistics,P-PK-4500,631,2026-06-16,S-702590,standard,3499,85.0
ORD-50004,CUST-002,Globex Manufacturing,P-CH-2210,596,2026-05-23,S-702925,standard,1231,1708.0
ORD-50005,CUST-014,Vandelay Industries,P-SW-3002,535,2026-06-05,S-702748,premium,8737,4624.0
ORD-50006,CUST-008,Tyrell Corporation,P-PW-1850,270,2026-05-20,S-703033,standard,3027,1616.0
ORD-50007,CUST-006,Stark Industries,P-PW-1801,240,2026-05-22,S-703143,standard,2761,6123.0
ORD-50008,CUST-008,Tyrell Corporation,P-SN-5001,78,2026-06-07,S-703512,standard,1673,1196.0
ORD-50009,CUST-006,Stark Industries,P-MC-7102,424,2026-05-30,S-702946,standard,2085,186.0
ORD-50010,CUST-014,Vandelay Industries,P-CH-2210,190,2026-06-01,S-700825,standard,3014,4042.0
ORD-50011,CUST-004,Soylent Foods,P-EL-9003,264,2026-05-20,S-702769,standard,2697,3965.0
ORD-50012,CUST-003,Initech Holdings,P-EL-9101,74,2026-05-23,S-703544,premium,17228,2133.0
ORD-50013,CUST-012,Massive Dynamic,P-PK-4500,488,2026-05-21,S-701871,economy,361,453.0
ORD-50014,CUST-003,Initech Holdings,P-SW-3002,592,2026-05-22,S-701767,economy,181,830.0
ORD-50015,CUST-008,Tyrell Corporation,P-PK-4500,368,2026-06-05,S-701453,standard,1642,18938.0
ORD-50016,CUST-004,Soylent Foods,P-SW-3001,172,2026-06-04,S-702499,economy,91,1419.0
ORD-50017,CUST-015,Sirius Cybernetics,P-SW-3002,457,2026-05-21,S-703265,economy,19,448.0
ORD-50018,CUST-005,Wayne Enterprises,P-PW-1850,708,2026-05-21,S-700899,premium,17121,7021.0
ORD-50019,CUST-007,Cyberdyne Systems,P-SW-3001,278,2026-05-21,S-703253,economy,32,1642.0
ORD-50020,CUST-009,Pied Piper Logistics,P-CH-2211,330,2026-06-01,S-701754,standard,942,10424.0
ORD-50021,CUST-002,Globex Manufacturing,P-MC-7102,108,2026-05-20,S-703444,standard,2545,17964.0
ORD-50022,CUST-004,Soylent Foods,P-CH-2211,545,2026-06-19,S-702964,standard,2231,961.0
ORD-50023,CUST-003,Initech Holdings,P-MC-7100,577,2026-05-22,S-701912,premium,9540,1020.0
ORD-50024,CUST-005,Wayne Enterprises,P-EL-9001,489,2026-05-31,S-701016,premium,14501,6540.0
ORD-50025,CUST-010,Hooli Hardware,P-SN-5001,752,2026-05-24,S-702294,standard,1767,782.0
ORD-50026,CUST-014,Vandelay Industries,P-PW-1801,515,2026-06-05,S-700993,premium,13515,5885.0
ORD-50027,CUST-007,Cyberdyne Systems,P-SW-3002,308,2026-05-25,S-702528,premium,4583,12332.0
ORD-50028,CUST-014,Vandelay Industries,P-CH-2210,54,2026-06-06,S-703445,standard,3410,1413.0
ORD-50029,CUST-010,Hooli Hardware,P-EL-9001,745,2026-06-02,S-703539,standard,999,8122.0
ORD-50030,CUST-006,Stark Industries,P-CH-2211,277,2026-05-24,S-702076,standard,941,68133.0
ORD-50031,CUST-013,Umbrella Group,P-EL-9102,634,2026-05-23,S-701823,premium,7355,1368.0
ORD-50032,CUST-012,Massive Dynamic,P-PK-4501,201,2026-05-29,S-702853,standard,2174,44341.0
ORD-50033,CUST-012,Massive Dynamic,P-MC-7101,154,2026-05-24,S-703048,standard,889,2844.0
ORD-50034,CUST-009,Pied Piper Logistics,P-PK-4501,124,2026-06-07,S-702275,standard,3046,12796.0
ORD-50035,CUST-011,Pearson Specialty Chemicals,P-PW-1802,582,2026-05-22,S-701770,premium,12272,1299.0
ORD-50036,CUST-004,Soylent Foods,P-PW-1801,243,2026-06-03,S-702898,premium,7067,6423.0
ORD-50037,CUST-008,Tyrell Corporation,P-MC-7100,550,2026-05-29,S-702466,standard,2827,23802.0
ORD-50038,CUST-008,Tyrell Corporation,P-SN-5001,451,2026-05-21,S-701781,economy,114,9662.0
ORD-50039,CUST-006,Stark Industries,P-SW-3002,537,2026-05-25,S-702857,premium,6264,8611.0
ORD-50040,CUST-005,Wayne Enterprises,P-EL-9001,729,2026-06-02,S-703519,premium,4248,2080.0
ORD-50041,CUST-014,Vandelay Industries,P-MC-7100,67,2026-05-25,S-703313,premium,12882,4151.0
ORD-50042,CUST-008,Tyrell Corporation,P-SN-5001,160,2026-05-23,S-702864,standard,2095,7301.0
ORD-50043,CUST-014,Vandelay Industries,P-SW-3002,487,2026-06-05,S-703019,economy,69,6932.0
ORD-50044,CUST-002,Globex Manufacturing,P-CH-2230,778,2026-05-23,S-702922,premium,8741,2676.0
ORD-50045,CUST-006,Stark Industries,P-EL-9001,100,2026-06-06,S-701068,standard,2941,730.0
ORD-50046,CUST-014,Vandelay Industries,P-EL-9002,761,2026-05-25,S-703589,standard,639,23537.0
ORD-50047,CUST-003,Initech Holdings,P-MC-7200,360,2026-05-29,S-701728,premium,9240,1481.0
ORD-50048,CUST-005,Wayne Enterprises,P-MC-7102,586,2026-06-12,S-703594,standard,1266,666.0
ORD-50049,CUST-011,Pearson Specialty Chemicals,P-MC-7200,368,2026-05-20,S-702881,premium,6023,8318.0
ORD-50050,CUST-014,Vandelay Industries,P-SW-3002,161,2026-06-02,S-702575,standard,715,9628.0
ORD-50051,CUST-001,Acme Industrial,P-SW-3001,541,2026-05-26,S-701051,premium,14813,725.0
ORD-50052,CUST-004,Soylent Foods,P-SN-5001,477,2026-06-09,S-701920,standard,1365,10415.0
ORD-50053,CUST-007,Cyberdyne Systems,P-EL-9001,422,2026-05-22,S-701461,standard,2173,24.0
ORD-50054,CUST-007,Cyberdyne Systems,P-SN-5001,681,2026-05-27,S-701490,standard,3305,26932.0
ORD-50055,CUST-002,Globex Manufacturing,P-PW-1801,445,2026-06-03,S-702810,standard,2341,165689.0
ORD-50056,CUST-002,Globex Manufacturing,P-EL-9003,226,2026-05-24,S-700693,premium,6632,25624.0
ORD-50057,CUST-008,Tyrell Corporation,P-CH-2230,437,2026-06-07,S-702820,standard,2409,1419.0
ORD-50058,CUST-005,Wayne Enterprises,P-CH-2230,375,2026-06-05,S-701296,standard,1199,231.0
ORD-50059,CUST-003,Initech Holdings,P-SW-3002,334,2026-06-03,S-701265,premium,15950,12972.0
ORD-50060,CUST-009,Pied Piper Logistics,P-SW-3001,91,2026-06-25,S-701451,standard,1322,1852.0
ORD-50061,CUST-014,Vandelay Industries,P-PK-4501,122,2026-05-27,S-700913,standard,2764,40419.0
ORD-50062,CUST-004,Soylent Foods,P-CH-2210,48,2026-05-20,S-703572,premium,10637,1969.0
ORD-50063,CUST-006,Stark Industries,P-MC-7101,403,2026-05-26,S-701860,standard,869,1423.0
