lane_id,origin_port,destination_port,mode,transit_days_target,transit_days_p50,transit_days_p95,weekly_capacity,current_delay_days,congestion_index
L-CNSHA-NLRTM,CNSHA,NLRTM,ocean,32,33.2,38.5,4800,1.2,0.32
L-CNSHA-DEHAM,CNSHA,DEHAM,ocean,34,36.8,44.0,4200,2.8,0.61
L-CNNGB-NLRTM,CNNGB,NLRTM,ocean,33,34.6,40.1,3600,1.6,0.38
L-CNYTN-DEHAM,CNYTN,DEHAM,ocean,35,37.5,44.8,3000,2.5,0.55
L-CNQIN-FRLEH,CNQIN,FRLEH,ocean,36,37.4,42.5,2400,1.4,0.40
L-CNTAO-DEHAM,CNTAO,DEHAM,ocean,38,41.2,49.5,2200,3.2,0.68
L-HKHKG-NLRTM,HKHKG,NLRTM,ocean,30,30.8,35.7,2800,0.8,0.26
L-SGSIN-NLRTM,SGSIN,NLRTM,ocean,28,28.6,32.9,3400,0.6,0.22
L-SGSIN-GBFXT,SGSIN,GBFXT,ocean,30,31.0,35.6,2600,1.0,0.30
L-KRPUS-USLAX,KRPUS,USLAX,ocean,18,19.5,24.2,4400,1.5,0.42
L-JPYOK-USLAX,JPYOK,USLAX,ocean,14,15.3,18.9,3600,1.3,0.38
L-CNSHA-USLAX,CNSHA,USLAX,ocean,16,17.8,22.4,5200,1.8,0.46
L-CNYTN-USLAX,CNYTN,USLAX,ocean,17,18.6,23.1,3800,1.6,0.43
L-JPTYO-CASOG,JPTYO,CASOG,ocean,12,12.8,15.4,1600,0.8,0.28
L-HKHKG-USOAK,HKHKG,USOAK,ocean,18,19.7,24.5,2200,1.7,0.44
L-NLRTM-USNYC,NLRTM,USNYC,ocean,11,11.6,13.8,2800,0.6,0.20
L-BEANR-USNYC,BEANR,USNYC,ocean,12,12.7,15.1,2200,0.7,0.22
L-ITGOA-USCHS,ITGOA,USCHS,ocean,16,17.2,20.5,1400,1.2,0.34
L-DEHAM-BRSSZ,DEHAM,BRSSZ,ocean,22,23.4,27.8,1800,1.4,0.36
L-NLRTM-BRSSZ,NLRTM,BRSSZ,ocean,21,22.1,26.3,2000,1.1,0.30
L-ESVLC-MXVER,ESVLC,MXVER,ocean,18,18.9,22.4,1200,0.9,0.27
L-INMUN-GBFXT,INMUN,GBFXT,ocean,21,22.6,26.9,1400,1.6,0.41
L-INNSA-NLRTM,INNSA,NLRTM,ocean,22,24.4,29.8,1800,2.4,0.56
L-AEDXB-NLRTM,AEDXB,NLRTM,ocean,17,17.9,21.0,2000,0.9,0.26
L-OMSLL-NLRTM,OMSLL,NLRTM,ocean,16,16.8,19.7,1600,0.8,0.24
L-CNSHA-USNYC,CNSHA,USNYC,ocean,28,30.5,36.8,2400,2.5,0.54
L-KRPUS-USNYC,KRPUS,USNYC,ocean,30,32.1,38.4,1600,2.1,0.49
L-DEHAM-ZADUR,DEHAM,ZADUR,ocean,24,25.3,29.7,1200,1.3,0.34
L-CNYTN-PEMRI,CNYTN,PEMRI,ocean,30,32.0,38.2,800,2.0,0.48
L-HKHKG-DEFRA,HKHKG,DEFRA,air,2,2.2,3.0,400,0.2,0.18
L-CNYTN-DEFRA,CNYTN,DEFRA,air,2,2.3,3.1,360,0.3,0.20
L-SGSIN-DEFRA,SGSIN,DEFRA,air,2,2.1,2.8,320,0.1,0.14
L-AEDXB-DEFRA,AEDXB,DEFRA,air,1,1.2,1.8,280,0.2,0.16
L-USNYC-LHRGB,USNYC,LHRGB,air,1,1.1,1.6,520,0.1,0.12
L-USORD-HKHKG,USORD,HKHKG,air,2,2.4,3.2,440,0.4,0.22
L-DEFRA-CNSHA,DEFRA,CNSHA,air,2,2.2,2.9,360,0.2,0.18
L-USLAX-AUSYD,USLAX,AUSYD,air,1,1.3,1.9,240,0.3,0.22
L-CNSHA-DEDUS,CNSHA,DEDUS,rail,18,19.6,24.3,800,1.6,0.42
L-CNTAO-PLLDZ,CNTAO,PLLDZ,rail,16,17.4,21.5,720,1.4,0.40
L-DEHAM-ITGOA,DEHAM,ITGOA,road,3,3.4,4.5,1200,0.4,0.18
