sku,period,on_time_rate,late_count,total_shipments
P-EL-9001,2025-Q4,0.96,4,108
P-EL-9001,2026-Q1,0.94,7,121
P-EL-9001,2026-Q2,0.91,11,124
P-EL-9002,2025-Q4,0.98,2,92
P-EL-9002,2026-Q1,0.97,3,98
P-EL-9002,2026-Q2,0.95,6,118
P-EL-9003,2025-Q4,0.93,5,72
P-EL-9003,2026-Q1,0.90,9,89
P-EL-9003,2026-Q2,0.88,13,107
P-CH-2210,2025-Q4,0.99,1,201
P-CH-2210,2026-Q1,0.99,2,212
P-CH-2210,2026-Q2,0.98,4,224
P-CH-2211,2025-Q4,0.99,1,188
P-CH-2211,2026-Q1,0.98,3,196
P-CH-2211,2026-Q2,0.97,6,203
P-MC-7100,2025-Q4,0.92,4,52
P-MC-7100,2026-Q1,0.89,7,64
P-MC-7100,2026-Q2,0.87,9,68
P-MC-7101,2025-Q4,0.94,3,49
P-MC-7101,2026-Q1,0.91,6,68
P-MC-7101,2026-Q2,0.90,7,72
P-MC-7102,2025-Q4,0.95,2,41
P-MC-7102,2026-Q1,0.93,4,55
P-MC-7102,2026-Q2,0.91,6,63
P-SW-3001,2025-Q4,1.00,0,12
P-SW-3001,2026-Q1,1.00,0,18
P-SW-3001,2026-Q2,1.00,0,22
P-SW-3002,2025-Q4,1.00,0,9
P-SW-3002,2026-Q1,1.00,0,14
P-SW-3002,2026-Q2,1.00,0,17
P-PK-4500,2025-Q4,0.85,3,20
P-PK-4500,2026-Q1,0.83,5,29
P-PK-4500,2026-Q2,0.81,7,36
P-PK-4501,2025-Q4,0.88,2,17
P-PK-4501,2026-Q1,0.86,4,28
P-PK-4501,2026-Q2,0.84,6,38
P-PW-1801,2025-Q4,0.96,2,55
P-PW-1801,2026-Q1,0.94,4,68
P-PW-1801,2026-Q2,0.92,7,82
P-PW-1802,2025-Q4,0.97,1,38
P-PW-1802,2026-Q1,0.95,3,57
P-PW-1802,2026-Q2,0.93,5,71
P-SN-5001,2025-Q4,0.95,3,61
P-SN-5001,2026-Q1,0.92,7,82
P-SN-5001,2026-Q2,0.90,9,89
